,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
842,Resort Hotel,0,129,2015,August,31,1,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,67.0,,0,Transient,96.3,0,0,Check-Out,2015-08-03
843,Resort Hotel,1,84,2015,August,31,1,2,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175.0,,0,Transient-Party,118.06,0,0,Canceled,2015-05-12
844,Resort Hotel,1,84,2015,August,31,1,2,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175.0,,0,Transient-Party,118.06,0,0,Canceled,2015-05-12
845,Resort Hotel,1,89,2015,August,31,1,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,154.0,0,0,Canceled,2015-05-04
846,Resort Hotel,1,10,2015,August,31,1,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient-Party,202.0,0,0,Canceled,2015-07-29
847,Resort Hotel,1,80,2015,August,31,1,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,134.0,0,2,Canceled,2015-07-16
848,Resort Hotel,1,10,2015,August,31,1,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient-Party,202.0,0,0,Canceled,2015-07-29
849,Resort Hotel,1,10,2015,August,31,1,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,1,No Deposit,,,0,Transient-Party,252.0,0,0,Canceled,2015-07-29
850,Resort Hotel,1,24,2015,August,31,1,0,1,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240.0,,0,Transient,233.0,0,1,Canceled,2015-07-16
851,Resort Hotel,0,1,2015,August,31,1,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,,,0,Transient,211.0,0,2,Check-Out,2015-08-02
852,Resort Hotel,1,9,2015,August,31,1,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,211.0,0,2,Canceled,2015-07-31
853,Resort Hotel,1,3,2015,August,31,1,2,3,2,2.0,0,HB,PRT,Direct,Direct,0,0,0,C,C,1,No Deposit,250.0,,0,Transient,237.0,0,1,Canceled,2015-07-29
854,Resort Hotel,0,3,2015,August,31,1,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,188.29,0,2,Check-Out,2015-08-08
855,Resort Hotel,1,124,2015,August,31,1,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,120.6,0,1,Canceled,2015-06-06
856,Resort Hotel,1,74,2015,August,31,1,2,5,2,2.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,250.0,,0,Transient,177.14,0,0,Canceled,2015-07-15
